DATE,SCORE,FG%,3P%,REB,AST,STL,PTS
Sun 6/19,L,.316,.286,5,2,1,17
Thu 6/16,L,.400,.462,2,1,1,30
Mon 6/13,L,.381,.333,7,4,0,25
Fri 6/10,W,.440,.538,5,6,2,38
Wed 6/8,L,.462,.333,1,3,2,19
Sun 6/5,W,.636,.500,9,4,0,18
Thu 6/2,W,.267,.375,5,6,0,11
Mon 5/30,W,.542,.583,5,8,0,36
Sat 5/28,W,.409,.429,10,9,2,31
Thu 5/26,W,.450,.375,7,6,5,31
Tue 5/24,L,.300,.200,5,5,2,19
Sun 5/22,L,.412,.273,5,3,2,24
Wed 5/18,W,.600,.625,2,3,1,28
Mon 5/16,L,.409,.429,10,7,3,26
Wed 5/11,W,.500,.455,5,11,1,29
Mon 5/9,W,.500,.313,9,8,0,40
Sat 5/7,L,.000,.000,0,0,0,0
Tue 5/3,W,.000,.000,0,0,0,0
Sun 5/1,W,.000,.000,0,0,0,0
Wed 4/27,W,.000,.000,0,0,0,0
Sun 4/24,W,.222,.143,0,5,1,6
Thu 4/21,L,.000,.000,0,0,0,0
Mon 4/18,W,.000,.000,0,0,0,0
Sat 4/16,W,.615,.714,7,2,3,24
Tue 6/16,W,.421,.273,6,8,3,25
Sun 6/14,W,.565,.538,7,4,2,37
Thu 6/11,W,.471,.571,2,7,1,22
Tue 6/9,L,.500,.538,6,6,3,27
Sun 6/7,L,.217,.133,6,5,0,19
Thu 6/4,W,.500,.333,4,8,2,26
Wed 5/27,W,.333,.273,8,6,5,26
Mon 5/25,L,.389,.462,1,4,0,23
Sat 5/23,W,.632,.778,5,7,2,40
Thu 5/21,W,.619,.455,3,6,1,33
Tue 5/19,W,.591,.545,6,5,2,34
Fri 5/15,W,.440,.615,6,10,0,32
Wed 5/13,W,.375,.462,7,5,6,18
Mon 5/11,W,.500,.444,8,5,2,33
Sat 5/9,L,.381,.200,2,6,1,23
Tue 5/5,L,.368,.182,5,6,0,19
Sun 5/3,W,.444,.500,2,7,4,22
Sat 4/25,W,.550,.750,8,9,1,39
Thu 4/23,W,.345,.389,5,9,0,40
Mon 4/20,W,.429,.333,4,6,1,22
Sat 4/18,W,.520,.308,4,5,3,34
